Order Name,Customer,Customer Reference,Product,Product Code,Product old Code,Quantity,Unit Price,Subtotal,Commitment Date,Customer Arrival Date,Order Date
S00152,"LES EAUX MINERALES D´OULMES, 671 EXW AS",False,30/25 NMP Smile NATURAL + NARANJA 62H052 - P.14,2029A639.14,656,1.0,1649.7936,1649.79,False,False,2025-01-16 11:27:04
S00151,"(Vendor Site Nº 100919354) NESTLE WATERS UK LTD, 207 PG",False,CAP 29/25 SW E650  - P35,2035A111.35,999999999999999999999999999999999999,26.0,928.2,24133.2,2025-01-14 11:00:00,False,2025-01-15 11:29:30
S00150,"(SOTHERMA) SOCIÉTÉ DU THERMALISME MAROCAIN, 578 EXW VR",False,ASA GARRAFA PG 3801 AZUL 113481 - P.94,7020A740.94,False,26.0,395.28,10277.28,2025-01-13 11:00:00,False,2025-01-15 11:26:16
S00149,"(SOTHERMA) SOCIÉTÉ DU THERMALISME MAROCAIN, 578 EXW VR",False,ASA GARRAFA PG 3801 AZUL 113481 - P.94,7020A740.94,False,26.0,395.28,10277.28,2025-01-13 11:00:00,False,2025-01-15 11:25:44
S00148,"(Vendor Site Nº 100919354) NESTLE WATERS UK LTD, 207 BX",False,CAP 29/25 SW E650,2035B303,False,390000.0,0.00476,1856.4,2025-01-13 09:00:00,False,2025-01-15 09:55:24
S00147,"(Vendor Site Nº 100919354) NESTLE WATERS UK LTD, 207 BX",False,CAP 29/25 SW E650  - P35,2035A111.35,False,11.0,895.05,9845.55,2025-01-13 09:00:00,False,2025-01-15 09:54:43
S00147,"(Vendor Site Nº 100919354) NESTLE WATERS UK LTD, 207 BX",False,2035B301 TAPON 29/25 SW E650 MB PE BLUE 0201168,False,False,1365000.0,0.00476,6497.4,False,False,2025-01-15 09:54:43
S00146,"(Vendor Site Nº 100919354) NESTLE WATERS UK LTD, 207 BX",False,CAP 29/25 SW E650 - P35,2035B111.35,False,3.0,895.05,2685.15,2025-01-13 09:00:00,False,2025-01-15 09:44:35
S00146,"(Vendor Site Nº 100919354) NESTLE WATERS UK LTD, 207 BX",False,2035B007 TAPON 29/25 SW E650 NATURAL,False,False,1365000.0,0.00459,6265.35,2025-01-13 09:00:00,False,2025-01-15 09:44:35
S00143,"NERA KRITIS SA, 888 EXW AS",False,30/25 ERIKA SECURECAP II BLANCO/WHITE 00116-PE - P.26,2049A283.26,False,22.0,812.43,17873.46,2025-01-15 09:00:00,False,2025-01-15 09:31:20
S00142,"(SOTHERMA) SOCIÉTÉ DU THERMALISME MAROCAIN, 578 EXW AS",False,CAP 29/25 SW E650 - P26,2035B036.26,False,26.0,822.9,21395.4,2025-01-15 09:00:00,False,2025-01-15 09:10:30
S00141,"EMBALLAGES MULTI DESIGN INC, 518 EXW AS",False,SPORT CAP 29/25 SAP 2914041 - P39,2010A069.39,False,1.0,1945.98,1945.98,False,False,2025-01-15 09:06:43
S00140,"(SOTHERMA) SOCIÉTÉ DU THERMALISME MAROCAIN, 578 EXW AS",False,CAP 30/25 E600-05 - P26,2046D036.26,False,26.0,609.93,15858.18,2025-01-13 08:00:00,False,2025-01-15 08:54:53
S00139,"EMBALLAGES MULTI DESIGN INC, 518 EXW AS",False,SPORT CAP 29/25 SAP 2914041 - P39,2010A069.39,False,6.0,1945.98,11675.88,2025-01-13 08:00:00,False,2025-01-15 08:52:52
S00139,"EMBALLAGES MULTI DESIGN INC, 518 EXW AS",False,SPORT CAP 29/25 - SAP 16456 - P39,2010A207.39,False,1.0,1945.98,1945.98,2025-01-13 08:00:00,False,2025-01-15 08:52:52
S00139,"EMBALLAGES MULTI DESIGN INC, 518 EXW AS",False,SPORT CAP 29/25 SAP 2914041 - P39,2010A069.39,False,3.0,1945.98,5837.94,2025-01-13 08:00:00,False,2025-01-15 08:52:52
S00139,"EMBALLAGES MULTI DESIGN INC, 518 EXW AS",False,SPORT CAP 29/25 SAP 2914041 - P39,2010A069.39,False,5.0,1945.98,9729.9,2025-01-13 08:00:00,False,2025-01-15 08:52:52
